sku,manual_categories
APP1683,accessories
APP1684,accessories
APP1685,accessories
APP1687,accessories
APP1688,accessories
APP1689,accessories
APP1690,accessories
APP1691,accessories
APP1695,accessories
APP1696,accessories
APP1699,smartwhatch
APP1713,smartwhatch
APP1729,smartwhatch
APP1740,smartwhatch
APP1741,smartwhatch
APP1742,tablet
APP1743,tablet
APP1744,tablet
APP1754,accessories
APP1756,accessories
APP1758,accessories
APP1762,accessories
APP1763,accessories
APP1764,accessories
APP1765,accessories
APP1766,accessories
APP1767,accessories
APP1768,accessories
APP1769,accessories
APP1770,accessories
APP1770-A,accessories
APP1771,accessories
APP1772,accessories
APP1773,smartwhatch
APP1779,smartwhatch
APP1780,smartwhatch
APP1782,accessories
APP1801,accessories
APP1803,accessories
APP1804,laptop
APP1804-A,accessories
APP1805,laptop
APP1806,laptop
APP1807,laptop
APP1808,laptop
APP1810,laptop
APP1812,laptop
APP1815,laptop
APP1816,laptop
APP1818,laptop
APP1824,laptop
APP1832,laptop
APP1833,laptop
APP1834,laptop
APP1835-A,laptop
APP1836,laptop
APP1841,laptop
APP1847,laptop
APP1848,laptop
APP1854,laptop
APP1859,laptop
APP1868,laptop
APP1869,laptop
APP1870,laptop
APP1871,laptop
APP1872,laptop
APP1873,laptop
APP1885,laptop
APP1894,laptop
APP1899,laptop
APP1899-A,laptop
APP1901,laptop
APP1913,accessories
APP1913-A,accessories
APP1914,accessories
APP1915,accessories
APP1916,accessories
APP1919,laptop
APP1921,pc
APP1923,pc
APP1924,pc
APP1926,pc
APP1929,pc
APP1930,pc
APP1934,laptop
APP1939,laptop
APP1940,laptop
APP1950,laptop
APP1958,accessories
APP1959,smartphone
APP1960,smartphone
APP1960-A,smartphone
APP1961,smartphone
APP1962,smartphone
APP1963,smartphone
APP1964,smartphone
APP1965,smartphone
APP1966,smartphone
APP1967,smartphone
APP1968,tablet
APP1969,tablet
APP1970,tablet
APP1971,tablet
APP1972,tablet
APP1973,tablet
APP1974,tablet
APP1975,tablet
APP1976,tablet
APP1977-A,tablet
APP1978,tablet
APP1979,tablet
APP1981,smartphone
APP1982,smartphone
APP1983,accessories
